time,jerseyNumber,behaviour,closeTeams,distantTeams,closeOps,distantOps,coordinate_x,coordinate_y,speed,direction
0,26,12,3,7,0,11,77.76,44.56,3.96,268.1
0,22,12,2,8,0,11,77.88,5.25,4.22,277.23
0,4,12,3,7,0,11,76.33,24.86,3.41,297.5
0,38,12,2,8,0,11,77.1,47.84,4.85,257.8
0,54,12,3,7,0,11,77.45,11.08,4.77,276.67
0,32,12,3,7,0,11,77.06,30.45,4.78,265.24
0,24,12,4,6,0,11,78.45,13.88,4.14,278.41
0,58,12,3,7,0,11,77.43,34.98,4.61,264.53
0,43,12,4,6,0,11,77.25,17.78,5.03,274.33
0,50,12,3,7,0,11,77.9,40.55,4.46,265.02
0,36,12,4,6,0,11,76.82,22.03,4.76,280.34
1,26,16,2,8,0,11,72.34,44.46,6.61,269.35
1,22,16,2,8,0,11,72.16,5.78,6.58,275.55
1,4,16,4,6,0,11,73.28,26.5,3.51,298.67
1,38,16,2,8,0,11,70.46,46.62,7.92,261.72
1,54,16,3,7,0,11,71.08,11.89,7.3,277.41
1,32,16,3,7,0,11,70.67,30.09,7.57,269.6
1,24,16,4,6,0,11,72.37,14.87,7.39,279.19
1,58,16,3,7,0,11,71.1,34.47,7.47,266.84
1,43,16,4,6,0,11,70.53,18.2,7.54,273.92
1,50,16,3,7,0,11,71.64,40.21,7.26,268.64
1,36,16,4,6,0,11,70.44,22.97,7.59,276.81
2,26,16,2,8,0,11,64.62,44.41,8.18,269.65
2,22,16,2,8,0,11,64.88,6.58,7.58,280.03
2,4,16,3,7,0,11,70.11,28.29,3.99,299.75
2,38,16,2,8,0,11,61.52,45.6,9.52,264.46
2,54,16,3,7,0,11,63.06,12.99,8.48,279.55
2,32,16,4,6,1,10,62.02,30.38,9.21,273.11
2,24,16,4,6,0,11,63.96,16.2,8.94,279.28
2,58,16,3,7,0,11,62.6,34.18,9.03,268.76
2,43,16,3,7,1,10,62.26,18.85,8.61,276.4
2,50,16,4,6,0,11,63.46,40.21,8.62,270.48
2,36,16,4,6,1,10,61.85,23.86,9.12,277.56
3,26,16,2,8,0,11,56.04,44.37,8.61,270.78
3,22,16,2,8,0,11,57.3,8.46,7.86,288.67
3,4,16,0,10,0,11,66.38,30.42,4.35,297.86
3,38,16,2,8,2,9,51.58,44.79,10.09,267.44
3,54,16,3,7,1,10,54.42,14.69,8.73,281.15
3,32,16,3,7,1,10,52.35,31.07,9.81,272.31
3,24,16,4,6,2,9,54.81,17.78,9.3,281.42
3,58,16,3,7,2,9,53.11,34.11,9.6,272.16
3,43,16,3,7,2,9,53.48,20.15,8.85,281.68
3,50,16,4,6,1,10,54.46,40.34,9.08,270.17
3,36,16,4,6,2,9,52.45,25.38,9.6,280.32
4,26,13,2,8,0,11,47.44,44.69,8.46,276.15
4,22,13,2,8,0,11,50.05,11.59,7.7,296.82
4,4,13,0,10,0,11,62.43,32.35,4.46,296.78
4,38,13,2,8,2,9,41.39,44.77,10.18,274.78
4,54,13,3,7,3,8,46.0,16.37,8.03,287.5
4,32,13,4,6,3,8,42.48,31.1,9.52,270.13
4,24,13,4,6,3,8,45.76,19.86,8.99,280.99
4,58,13,3,7,3,8,43.48,34.95,9.26,277.71
4,43,13,4,6,3,8,45.0,22.48,8.44,290.32
4,50,13,4,6,3,8,45.33,40.26,8.95,270.67
4,36,13,4,6,3,8,42.98,27.26,9.47,281.48
5,26,11,2,8,0,11,39.26,46.18,7.89,282.53
5,22,11,2,8,2,9,43.58,15.35,7.05,304.42
5,4,11,0,10,0,11,58.43,34.47,4.66,299.79
5,38,11,2,8,2,9,31.34,46.49,10.09,281.66
5,54,11,3,7,3,8,39.22,19.6,7.35,308.1
5,32,11,4,6,4,7,33.4,31.3,8.25,281.69
5,24,11,4,6,3,8,37.18,21.12,8.24,278.73
5,58,11,3,7,5,6,34.82,36.48,8.12,277.38
5,43,11,4,6,3,8,37.7,25.85,7.2,290.05
5,50,11,4,6,3,8,36.58,40.64,8.51,277.8
5,36,11,4,6,5,6,33.95,29.16,8.56,283.12
6,26,34,1,9,2,9,32.08,48.03,6.69,284.14
6,22,34,2,8,2,9,38.45,19.54,6.07,313.61
6,4,34,0,10,0,11,54.34,36.97,4.7,302.07
6,38,34,1,9,4,7,21.64,48.71,9.56,279.48
6,54,34,3,7,3,8,34.48,25.31,7.55,324.5
6,32,34,4,6,6,5,26.4,34.35,7.47,297.24
6,24,34,4,6,3,8,29.52,22.6,7.52,293.68
6,58,34,3,7,7,4,27.36,37.02,6.95,276.31
6,43,34,4,6,4,7,31.4,27.4,6.65,284.84
6,50,34,4,6,5,6,28.51,42.52,7.98,284.25
6,36,34,4,6,5,6,26.3,31.11,7.75,285.38
38,98,0,7,3,7,4,35.78,22.65,0.83,298.72
38,94,0,6,4,9,2,35.64,35.26,0.39,262.03
38,26,0,7,3,8,3,38.45,32.06,0.26,285.45
38,22,0,1,9,1,10,36.13,43.09,0.35,123.86
38,90,0,8,2,10,1,35.79,29.14,0.22,191.46
38,95,0,8,2,10,1,36.12,26.43,0.43,226.33
38,52,0,8,2,9,2,38.71,28.84,0.69,297.18
38,23,0,5,5,5,6,39.94,21.3,5.47,179.39
38,99,0,7,3,9,2,35.75,32.08,0.26,235.04
38,20,0,0,10,0,11,51.66,29.53,1.18,102.38
38,31,0,7,3,7,4,38.86,23.48,0.11,206.18
39,98,16,7,3,9,2,34.36,23.22,2.13,282.37
39,94,16,6,4,9,2,34.89,34.98,0.62,242.01
39,26,16,7,3,9,2,38.12,32.32,0.91,340.25
39,22,16,1,9,1,10,36.85,43.34,2.09,66.51
39,90,16,7,3,9,2,35.32,28.82,1.72,232.16
39,95,16,7,3,10,1,35.18,26.74,1.82,275.98
39,52,16,7,3,9,2,37.67,29.09,1.4,285.2
39,23,16,2,8,2,9,40.52,16.84,3.91,165.98
39,99,16,7,3,9,2,35.5,31.79,1.18,217.78
39,20,16,0,10,0,11,53.0,29.36,1.74,115.39
39,31,16,7,3,8,3,38.92,23.46,0.82,127.78
40,98,20,5,5,8,3,31.8,23.51,1.23,263.66
40,94,20,5,5,7,4,34.75,34.77,0.96,144.66
40,26,20,5,5,7,4,37.93,33.72,0.64,228.84
40,22,20,0,10,1,10,39.89,44.78,2.61,66.05
40,90,20,7,3,9,2,33.15,27.01,2.99,225.3
40,95,20,7,3,9,2,32.61,26.67,2.48,255.65
40,52,20,7,3,9,2,36.02,29.65,1.51,263.72
40,23,20,1,9,2,9,41.65,13.57,3.68,178.98
40,99,20,7,3,9,2,34.29,30.19,2.19,213.67
40,20,20,0,10,0,11,54.62,27.78,3.65,165.56
40,31,20,6,4,6,5,40.09,22.26,2.81,159.28
41,98,23,5,5,8,3,32.14,23.46,1.63,127.11
41,94,23,4,6,7,4,36.06,33.44,3.0,155.18
41,26,23,3,7,7,4,38.13,32.72,2.58,168.89
41,22,23,0,10,1,10,41.36,45.29,1.08,140.83
41,90,23,4,6,7,4,31.2,24.66,3.1,205.77
41,95,23,5,5,8,3,30.48,25.53,2.46,224.14
41,52,23,6,4,8,3,34.97,28.58,2.91,191.06
41,23,23,1,9,2,9,40.52,9.56,4.34,208.72
41,99,23,6,4,8,3,33.21,28.23,2.15,180.69
41,20,23,0,10,0,11,54.34,22.36,6.1,192.29
41,31,23,2,8,2,9,40.6,18.14,4.95,181.72
42,98,16,6,4,7,4,33.96,21.26,3.59,173.37
42,94,16,5,5,7,4,36.9,29.39,4.54,188.87
42,26,16,4,6,6,5,38.8,28.79,4.46,182.7
42,22,16,0,10,1,10,40.89,43.68,2.38,209.68
42,90,16,4,6,7,4,30.49,21.4,4.13,194.76
42,95,16,5,5,7,4,29.23,23.16,3.28,207.27
42,52,16,6,4,8,3,35.0,24.05,5.39,194.65
42,23,16,1,9,2,9,37.5,6.16,5.2,238.59
42,99,16,6,4,8,3,34.31,25.97,2.89,163.19
42,20,16,0,10,0,11,51.96,16.16,6.66,215.12
42,31,16,1,9,2,9,39.61,12.64,5.65,213.52
43,98,16,7,3,5,6,32.49,16.69,5.64,212.53
43,94,16,6,4,8,3,34.45,24.8,5.54,225.48
43,26,16,4,6,5,6,37.49,23.98,5.24,209.78
43,22,16,0,10,1,10,38.86,41.23,4.13,225.89
43,90,16,6,4,6,5,28.84,16.74,5.66,213.95
43,95,16,5,5,7,4,27.34,19.72,4.48,214.77
43,52,16,7,3,7,4,31.98,18.39,7.15,218.54
43,23,16,1,9,2,9,31.61,4.36,7.12,264.13
43,99,16,6,4,8,3,34.55,22.79,2.86,208.87
43,20,16,0,10,0,11,46.69,11.7,7.02,243.27
43,31,16,4,6,2,9,34.36,9.12,7.17,249.36
44,98,7,7,3,6,5,27.94,12.03,6.76,231.58
44,94,7,5,5,7,4,29.19,21.83,6.04,246.72
44,26,7,3,7,6,5,33.66,19.89,5.53,232.16
44,22,7,0,10,1,10,34.97,37.99,5.48,231.59
44,90,7,5,5,6,5,24.14,12.23,6.77,233.33
44,95,7,6,4,6,5,24.14,15.91,4.94,226.38
44,52,7,6,4,6,5,26.18,13.03,7.93,232.57
44,23,7,4,6,3,8,23.5,4.79,8.45,275.4
44,99,7,3,7,6,5,31.84,21.36,2.51,263.58
44,20,7,0,10,0,11,39.64,9.88,7.25,260.67
44,31,7,5,5,3,8,26.41,7.65,8.33,262.46
45,98,33,5,5,6,5,22.03,8.38,6.47,245.52
45,94,33,3,7,7,4,23.46,19.98,5.63,256.69
45,26,33,4,6,6,5,28.9,17.22,5.16,244.16
45,22,33,0,10,1,10,30.36,34.45,5.82,230.99
45,90,33,5,5,5,6,18.14,8.73,6.48,244.22
45,95,33,7,3,8,3,20.24,12.99,4.52,243.01
45,52,33,5,5,6,5,19.51,8.82,7.29,241.92
45,23,33,5,5,3,8,14.93,5.87,7.23,279.12
45,99,33,2,8,5,6,29.89,22.01,1.52,279.2
45,20,33,1,9,1,10,32.49,9.28,6.64,266.1
45,31,33,5,5,3,8,17.96,6.9,7.58,265.91
100,76,0,9,1,10,1,13.96,21.88,0.29,281.25
100,77,0,9,1,10,1,13.96,20.4,0.18,283.34
100,65,0,10,0,11,0,13.35,23.58,0.14,314.54
100,86,0,10,0,8,3,18.0,23.46,0.3,315.5
100,11,0,5,5,6,5,13.79,32.34,0.23,194.89
100,17,0,9,1,8,3,14.79,17.92,0.2,292.12
100,68,0,10,0,11,0,13.84,25.14,0.01,167.29
100,79,0,10,0,9,2,14.27,26.77,0.03,115.81
100,30,0,9,1,4,7,20.62,23.27,0.25,146.49
100,16,0,10,0,11,0,14.26,23.5,0.15,66.35
100,89,0,9,1,8,3,13.43,18.49,0.38,184.28
101,76,16,10,0,10,1,13.62,22.49,1.35,318.75
101,77,16,9,1,10,1,13.8,20.74,0.69,340.92
101,65,16,10,0,11,0,13.2,23.74,0.95,295.48
101,86,16,10,0,8,3,17.4,23.92,2.2,299.64
101,11,16,6,4,6,5,13.69,31.78,1.81,191.9
101,17,16,9,1,8,3,14.43,17.88,1.04,269.59
101,68,16,10,0,11,0,13.84,25.16,0.36,348.66
101,79,16,10,0,10,1,14.26,26.86,0.74,355.03
101,30,16,9,1,4,7,20.4,23.71,1.7,305.1
101,16,16,10,0,11,0,14.68,23.63,1.89,76.27
101,89,16,9,1,8,3,13.51,18.48,0.45,177.37
102,76,10,10,0,11,0,12.2,23.73,1.32,301.95
102,77,10,10,0,11,0,13.56,21.69,1.1,342.47
102,65,10,10,0,11,0,11.56,24.26,1.82,273.55
102,86,10,10,0,11,0,14.24,25.49,2.71,285.74
102,11,10,9,1,9,2,13.12,28.84,2.56,184.4
102,17,10,8,2,9,2,12.73,18.06,2.13,303.92
102,68,10,10,0,11,0,13.7,25.88,0.74,315.97
102,79,10,9,1,10,1,14.15,28.22,0.98,352.62
102,30,10,10,0,11,0,17.61,24.87,4.21,277.27
102,16,10,10,0,10,1,17.96,24.3,3.37,84.35
102,89,10,10,0,10,1,13.38,19.37,1.04,335.62
103,76,35,10,0,11,0,11.5,23.94,0.54,279.69
103,77,35,10,0,11,0,13.08,22.82,1.24,326.68
103,65,35,9,1,11,0,9.77,23.9,1.4,239.34
103,86,35,10,0,11,0,12.45,25.38,1.5,242.97
103,11,35,10,0,11,0,13.27,26.86,1.41,186.18
103,17,35,9,1,10,1,11.1,20.31,2.66,320.59
103,68,35,10,0,11,0,12.76,25.97,1.56,251.36
103,79,35,10,0,11,0,14.03,28.77,0.49,59.6
103,30,35,10,0,11,0,12.29,24.62,4.08,262.72
103,16,35,8,2,6,5,21.11,24.28,1.72,90.62
103,89,35,10,0,11,0,12.62,20.27,1.57,307.75
104,77,16,9,1,11,0,11.04,23.93,0.8,255.88
104,65,16,10,0,11,0,12.25,23.68,0.94,289.21
104,86,16,9,1,11,0,9.15,23.05,0.81,199.92
104,11,16,10,0,11,0,11.49,24.38,1.09,238.71
104,17,16,10,0,11,0,12.86,25.98,0.63,177.3
104,68,16,9,1,11,0,9.31,21.96,2.03,294.7
104,79,16,9,1,11,0,10.92,24.85,1.82,237.14
104,30,16,10,0,11,0,14.47,29.06,0.51,153.65
104,16,16,9,1,11,0,9.84,23.99,1.09,201.1
104,89,16,4,6,3,8,21.35,24.3,0.7,235.9
104,76,16,9,1,11,0,11.24,28.86,1.9,238.09
151,76,0,9,1,11,0,25.35,27.11,0.06,146.85
151,77,0,9,1,11,0,25.78,27.96,0.09,216.78
151,44,0,9,1,11,0,24.75,26.45,0.27,99.32
151,86,0,10,0,11,0,27.62,23.87,0.01,283.04
151,4,0,3,7,0,11,35.72,23.93,0.18,295.59
151,6,0,10,0,7,4,33.15,27.05,0.01,151.13
151,68,0,9,1,11,0,25.47,25.67,0.07,68.68
